idLoc,idProv,nomLoc,nomZona
-1,15,N/D,
1,1032,Florida,VICENTE LOPEZ
2,1032,Villa Martelli,VICENTE LOPEZ
3,1032,Munro,VICENTE LOPEZ
4,1032,Carapachay,VICENTE LOPEZ
5,1032,Villa Adelina,SAN ISIDRO
6,1032,Boulogne,SAN ISIDRO
7,1032,Don Torcuato,TIGRE
8,1032,Ingeniero Adolfo Sordeaux,MALVINAS ARGENTINAS
9,1032,Los Polvorines,MALVINAS ARGENTINAS
10,1032,Pablo Nougues,MALVINAS ARGENTINAS
11,1032,Villa De Mayo,MALVINAS ARGENTINAS
12,1032,Grand Bourg,MALVINAS ARGENTINAS
13,1032,General Pacheco,TIGRE
14,1032,El Talar,TIGRE
15,1032,Ricardo Rojas,TIGRE
16,1032,Troncos Del Talar,TIGRE
17,1032,Garin,ESCOBAR
18,1032,Ruta 26 Kilometro 48,ESCOBAR
19,1032,Maquinista Francisco Savio,ESCOBAR
20,1032,Benavidez,TIGRE
21,1032,Dique Lujan,TIGRE
22,1032,Ingeniero Maschwitz,ESCOBAR
23,1032,Punta De Canal,ESCOBAR
24,1032,Arroyo Canelon,ESCOBAR
25,1032,Arroyo Las Rosas,ESCOBAR
26,1032,Barrio El Cazador,ESCOBAR
27,1032,Belen De Escobar,ESCOBAR
28,1032,Loma Verde,ESCOBAR
29,1032,Puerto De Escobar,ESCOBAR
30,1032,Villa La Chechela,ESCOBAR
31,1032,Villa Vallier,ESCOBAR
32,1032,Matheu,ESCOBAR
33,1032,Zelaya,PILAR
34,1032,Almirante Irizar,PILAR
35,1032,Barrio San Alejo,PILAR
36,1032,Establecimiento San Miguel,PILAR
37,1032,Kilometro 61,PILAR
38,1032,Manzanares,PILAR
39,1032,Pilar,PILAR
40,1032,Villa Agueda,PILAR
41,1032,Villa Buide,PILAR
42,1032,Villa Santa Maria,PILAR
43,1032,Villa Verde,PILAR
44,1032,Villa Rosa,PILAR
45,1032,Empalme,PILAR
46,1032,Fatima,PILAR
47,1032,Manzone,PILAR
48,1,Pavon,EXALT DE LA CRUZ
49,1032,Villa Astolfi,PILAR
50,1032,Kilometro 45,PILAR
51,1032,Presidente Derqui,PILAR
52,1032,Toro,PILAR
53,1032,Olivos,VICENTE LOPEZ
54,1032,Vicente Lopez,VICENTE LOPEZ
55,1032,Martinez,SAN ISIDRO
56,1032,Acassuso,SAN ISIDRO
57,1032,San Isidro,SAN ISIDRO
58,1032,Beccar,SAN ISIDRO
59,1032,Victoria,SAN FERNANDO
60,1032,San Fernando,SAN FERNANDO
61,25,Aero Club Canal,GUALEGUAYCHU
62,25,Arroyo Baltazar,GUALEGUAYCHU
63,25,Arroyo Baltazar Chico,GUALEGUAYCHU
64,25,Arroyo Boca Falsa,GUALEGUAYCHU
65,25,Arroyo Bravo Gutierrez,GUALEGUAYCHU
66,25,Arroyo Brazo Chico,GUALEGUAYCHU
67,25,Arroyo Brazo De La Tinta,GUALEGUAYCHU
68,25,Arroyo Carbon,GUALEGUAYCHU
69,25,Arroyo Carboncito,GUALEGUAYCHU
70,25,Arroyo Carpincho,GUALEGUAYCHU
71,25,Arroyo Correntoso,GUALEGUAYCHU
72,25,Arroyo Cuzco,GUALEGUAYCHU
73,25,Arroyo De La Rosa,GUALEGUAYCHU
74,25,Arroyo Desaguadero Del Gutierrez,GUALEGUAYCHU
75,25,Arroyo Desaguadero Del Sauce,GUALEGUAYCHU
76,25,Arroyo Gutierrez Chico,GUALEGUAYCHU
77,25,Arroyo La Tinta,GUALEGUAYCHU
78,25,Arroyo Malambo,GUALEGUAYCHU
79,25,Arroyo Martinez,ISLAS DEL IBICUY
80,25,Arroyo Ñancay,GUALEGUAYCHU
81,25,Arroyo Negro,GUALEGUAYCHU
82,25,Arroyo Paciencia Chico,GUALEGUAYCHU
83,25,Arroyo Paciencia Grande,GUALEGUAYCHU
84,25,Arroyo Pelado,GUALEGUAYCHU
85,25,Arroyo Perdido,GUALEGUAYCHU
86,25,Arroyo Perdido,GUALEGUAYCHU
87,25,Arroyo Piedras,GUALEGUAYCHU
88,25,Arroyo Sagastume Chico,GUALEGUAYCHU
89,25,Arroyo Sagastume Grande,ISLAS DEL IBICUY
90,25,Arroyo Santos Chico,GUALEGUAYCHU
91,25,Arroyo Santos Grande,GUALEGUAYCHU
92,25,Arroyo Tiroles,GUALEGUAYCHU
93,25,Brazo Largo,GUALEGUAYCHU
94,25,Canal Nuevo,GUALEGUAYCHU
95,25,Canal San Martin,GUALEGUAYCHU
96,25,La Chilena Canal,GUALEGUAYCHU
97,25,La Chilena Zanja,GUALEGUAYCHU
98,1032,Naciones,SAN FERNANDO
99,25,Paranacito Rio,GUALEGUAYCHU
100,1032,Paycarabicito,SAN FERNANDO
101,1032,Tigre,TIGRE
102,1032,Toledo,TIGRE
103,1032,Torito,TIGRE
104,1032,Abra Vieja,TIGRE
105,1032,Aguaje Del Durazno,SAN FERNANDO
106,1032,Albarracin,TIGRE
107,1032,Alem L N,SAN FERNANDO
108,1032,Amantes,SAN FERNANDO
109,1032,Amarillo,TIGRE
110,1032,Amarillo Palmas,TIGRE
111,1032,Andresito,TIGRE
112,1032,Angelito,SAN FERNANDO
113,1032,Angostura,TIGRE
114,1032,Anguilas,SAN FERNANDO
115,1032,Animas,TIGRE
116,1032,Animitas,TIGRE
117,1032,Antequera,TIGRE
118,1032,Antequerita,TIGRE
119,1032,Arias,TIGRE
120,25,Arroyo Bicho Feo,GUALEGUAYCHU
121,1,Arroyo Busto,CAMPANA
122,25,Arroyo Ceibito,GUALEGUAYCHU
123,1,Arroyo Corto,CAMPANA
124,25,Arroyo Cucharas,GUALEGUAYCHU
125,1,Arroyo Cuevas Malas,CAMPANA
126,1032,Arroyo El Cazador,ESCOBAR
127,1,Arroyo El Toro,CAMPANA
128,1,Arroyo Fermin,CAMPANA
129,25,Arroyo Garcete,GUALEGUAYCHU
130,25,Arroyo Lara,GUALEGUAYCHU
131,25,Arroyo Las Animas,GUALEGUAYCHU
132,25,Arroyo Llorones,GUALEGUAYCHU
133,1,Arroyo Machado,CAMPANA
134,25,Arroyo Manzano,GUALEGUAYCHU
135,25,Arroyo Merlo,GUALEGUAYCHU
136,25,Arroyo Mosquito,GUALEGUAYCHU
137,1,Arroyo Negro,CAMPANA
138,25,Arroyo Pereyra,GUALEGUAYCHU
139,25,Arroyo Pito,GUALEGUAYCHU
140,25,Arroyo Platitos,GUALEGUAYCHU
141,1032,Arroyon,TIGRE
142,1032,Arroyon De Felicaria,SAN FERNANDO
143,1032,Baldosas,SAN FERNANDO
144,1032,Baltico,SAN FERNANDO
145,1032,Banco,TIGRE
146,1032,Barca Grande,SAN FERNANDO
147,1032,Boca Falsa 1,SAN FERNANDO
148,1032,Borasso,TIGRE
149,1032,Borches,SAN FERNANDO
150,1032,Buena Vista,SAN FERNANDO
151,1032,Caguane,SAN FERNANDO
152,1032,Camachito,SAN FERNANDO
153,1032,Camacho,SAN FERNANDO
154,1032,Canal 1,SAN FERNANDO
155,1032,Canal 2,SAN FERNANDO
156,1032,Canal 3,SAN FERNANDO
157,1032,Canal 4,SAN FERNANDO
158,1032,Canal 5,SAN FERNANDO
159,1,Canal 6,CAMPANA
160,1032,Canal A,TIGRE
161,1032,Canal B,TIGRE
162,1032,Canaleton,SAN FERNANDO
163,1032,Cancha Larga,TIGRE
164,1032,Canelones,SAN FERNANDO
165,1032,Capitan,TIGRE
166,1032,Capitan Chico,TIGRE
167,1032,Capitancito,TIGRE
168,1032,Caraballo,TIGRE
169,1032,Carabelas,SAN FERNANDO
170,1032,Carabelas,TIGRE
171,1032,Carabelas Grande,TIGRE
172,1032,Caracoles,SAN FERNANDO
173,1032,Caraguata,TIGRE
174,1032,Carancho,TIGRE
175,1032,Carapachay,TIGRE
176,1032,Carapuati,SAN FERNANDO
177,1032,Carlos Noel,TIGRE
178,1032,Carnicero,SAN FERNANDO
179,1032,Carpincho,SAN FERNANDO
180,1032,Chaña,SAN FERNANDO
181,1032,Chañacillo,SAN FERNANDO
182,1032,Chañacito,SAN FERNANDO
183,1032,Chileno,SAN FERNANDO
184,1032,Chiquerito,TIGRE
185,1032,Chiquero,TIGRE
186,1032,Chivico,SAN FERNANDO
187,1032,Churrasco,TIGRE
188,1032,Cieguito,SAN FERNANDO
189,1032,Ciervo,TIGRE
190,1032,Concepcion,TIGRE
191,1032,Confiterito,TIGRE
192,1032,Confitero,TIGRE
193,1032,Correa,TIGRE
194,1032,Correntino,SAN FERNANDO
195,1032,Correntoso,SAN FERNANDO
196,1032,Cruces,SAN FERNANDO
197,1032,Cruz Colorada,TIGRE
198,1032,Cruz De Gambado,TIGRE
199,1032,Cruz Del Sauce,SAN FERNANDO
200,1032,Cuarenta,TIGRE
201,1032,Curubica,TIGRE
202,1032,De La Serna,SAN FERNANDO
203,1032,De Las Gaviotas,TIGRE
204,1032,De Los Nogales,TIGRE
205,1032,De Los Tigres,TIGRE
206,1032,Del Canal,SAN FERNANDO
207,1032,Del Este,TIGRE
208,1032,Del Pobre,TIGRE
209,1032,Dentudo,TIGRE
210,1032,Desaguadero De Borches,SAN FERNANDO
211,1032,Desaguadero Del Sauce,SAN FERNANDO
212,1032,Desengañado,TIGRE
213,1032,Diablo,SAN FERNANDO
214,1032,Dominguito,SAN FERNANDO
215,1032,Dorado,TIGRE
216,1032,Dos Puntas,SAN FERNANDO
217,1032,Duraznito,TIGRE
218,1032,Durazno,SAN FERNANDO
219,1032,Eduardo,TIGRE
220,1032,El Negro,SAN FERNANDO
221,1032,El Plata,SAN FERNANDO
222,1032,El Rodeo,TIGRE
223,1032,Espadaña,SAN FERNANDO
224,1032,Espera,TIGRE
225,1032,Espera Grande Tigre,TIGRE
226,1032,Esperita,TIGRE
227,1032,Estudiante,SAN FERNANDO
228,1032,Estudiante Chico,SAN FERNANDO
229,1032,Felicaria,SAN FERNANDO
230,1032,Felipe,TIGRE
231,1032,Felix,SAN FERNANDO
232,1032,Fontana,TIGRE
233,1032,Francisco,TIGRE
234,1032,Fredes,SAN FERNANDO
235,1032,Fulminante,TIGRE
236,1032,Gallito,SAN FERNANDO
237,1032,Gallo Fiambre,TIGRE
238,1032,Galpon,TIGRE
239,1032,Gambado,TIGRE
240,1032,Gaviotas,TIGRE
241,1032,Gdor Arana,SAN FERNANDO
242,1032,Gelvez,TIGRE
243,1032,Glorieta,TIGRE
244,1032,Gobernador Arias,TIGRE
245,1032,Grande,SAN FERNANDO
246,1032,Guayraca,TIGRE
247,1032,Guazu Nambi,TIGRE
248,1032,Guazucito,SAN FERNANDO
